product_id,product_name,category,sub_category,price
P101,Volumizing Eau de Parfum,Fragrance,Eau de Parfum,120.99
P102,Hydrating Eau de Parfum,Fragrance,Eau de Parfum,81.83
P103,Sheer Rollerball,Fragrance,Rollerball,51.56
P104,Volumizing Toner,Skincare,Toner,38.34
P105,Hydrating Toner,Skincare,Toner,73.63
P106,Repairing Mascara,Makeup,Mascara,25.49
P107,Glowing Rollerball,Fragrance,Rollerball,88.98
P108,Volumizing Cleanser,Skincare,Cleanser,51.09
P109,Repairing Hair Oil,Haircare,Hair Oil,92.6
P110,Repairing Lipstick,Makeup,Lipstick,89.15
P111,Volumizing Conditioner,Haircare,Conditioner,78.89
P112,Glowing Shampoo,Haircare,Shampoo,48.7
P113,Repairing Hair Oil,Haircare,Hair Oil,65.27
P114,Repairing Blush,Makeup,Blush,102.93
P115,Glowing Foundation,Makeup,Foundation,73.15
P116,Sheer Eau de Parfum,Fragrance,Eau de Parfum,119.86
P117,Matte Mascara,Makeup,Mascara,104.3
P118,Hydrating Foundation,Makeup,Foundation,44.2
P119,Repairing Shampoo,Haircare,Shampoo,62.35
P120,Repairing Eyeshadow Palette,Makeup,Eyeshadow Palette,60.76
P121,Sheer Foundation,Makeup,Foundation,110.07
P122,Matte Toner,Skincare,Toner,36.82
P123,Volumizing Shampoo,Haircare,Shampoo,44.66
P124,Matte Toner,Skincare,Toner,103.75
P125,Volumizing Body Mist,Fragrance,Body Mist,105.21
P126,Matte Styling Cream,Haircare,Styling Cream,97.57
P127,Glowing Styling Cream,Haircare,Styling Cream,98.44
P128,Repairing Rollerball,Fragrance,Rollerball,85.06
P129,Hydrating Body Mist,Fragrance,Body Mist,94.35
P130,Glowing Mascara,Makeup,Mascara,52.21
P131,Matte Serum,Skincare,Serum,42.74
P132,Hydrating Lipstick,Makeup,Lipstick,62.39
P133,Repairing Rollerball,Fragrance,Rollerball,62.49
P134,Repairing Eyeshadow Palette,Makeup,Eyeshadow Palette,114.82
P135,Repairing Sunscreen,Skincare,Sunscreen,69.04
P136,Sheer Body Mist,Fragrance,Body Mist,59.73
P137,Repairing Conditioner,Haircare,Conditioner,41.48
P138,Hydrating Styling Cream,Haircare,Styling Cream,59.61
P139,Sheer Conditioner,Haircare,Conditioner,68.01
P140,Volumizing Blush,Makeup,Blush,20.89
P141,Hydrating Shampoo,Haircare,Shampoo,86.77
P142,Matte Eyeshadow Palette,Makeup,Eyeshadow Palette,23.38
P143,Matte Hair Oil,Haircare,Hair Oil,66.65
P144,Glowing Body Mist,Fragrance,Body Mist,98.47
P145,Sheer Hair Oil,Haircare,Hair Oil,26.76
P146,Hydrating Sunscreen,Skincare,Sunscreen,124.99
P147,Long-lasting Eau de Parfum,Fragrance,Eau de Parfum,25.34
P148,Matte Moisturizer,Skincare,Moisturizer,39.33
P149,Matte Sunscreen,Skincare,Sunscreen,43.52
P150,Volumizing Shampoo,Haircare,Shampoo,119.41
